sellerServiceStatus,logNo,title,categoryNo,parentCategoryNo,sourceCode,commentCount,readCount,addDate,openType,searchYn,greenReviewBannerYn,memologMovingYn,isPostSelectable,isPostNotOpen,isPostBlocked,isBlockTmpForced,postProductStatus
,223297047454,%5B%EC%9A%A9%EC%82%B0%EB%8F%99+2%EA%B0%80+%ED%95%B4%EB%B0%A9%EC%B4%8C%5D+%EB%8B%AC%EB%B9%9B+%EB%94%B0%EB%9D%BC+%EB%A7%9B%EC%A7%91+%EB%94%B0%EB%9D%BC+%26quot%3B%EB%8B%AC%EB%B9%9B+%ED%9D%98%EB%9F%AC%EA%B0%84+%EC%9E%90%EB%A6%AC%26quot%3B+24%EC%8B%9C+%EC%B9%B4%ED%8E%98+%EB%A6%AC%EB%B7%B0,23,23,0,9.0,,2023. 12. 19.,2,True,False,0,0,0,0,0,
,223296312291,%5B%ED%99%8B%EC%B9%B4%EC%9D%B4%EB%8F%84+2%5D+%EC%82%BF%ED%8F%AC%EB%A1%9C+%ED%9B%84%EB%9D%BC%EB%85%B8+%EB%B9%84%EC%97%90%EC%9D%B4+%ED%95%98%EC%BD%94%EB%8B%A4%ED%85%8C+%EA%B5%90%ED%86%B5+%ED%8C%A8%EC%8A%A4+%EB%B0%8F+%ED%88%AC%EC%96%B4+%EC%A0%95%EB%A6%AC,8,7,0,12.0,,2023. 12. 18.,2,True,False,0,0,0,0,0,
,223295624096,%5B%EA%B0%95%EC%9B%90%EB%8F%84+%ED%8F%89%EC%B0%BD+1%5D+%EB%B9%84%EC%98%A4%EB%8A%94%EB%82%A0+%ED%9C%98%EB%8B%89%EC%8A%A4+%ED%8C%8C%ED%81%AC%EC%97%90%EC%84%9C+%EC%8A%A4%ED%82%A4%EC%9E%A5+200%25+%EC%A6%90%EA%B8%B0%EA%B8%B0%21,22,7,0,22.0,,2023. 12. 17.,2,True,False,0,0,0,0,0,
,223294909176,%EC%B1%85+%EC%9D%BD%EB%8B%A4%EA%B0%80+%ED%98%84%ED%83%80+%EC%98%A4%EB%8A%94+%EC%9D%B4%EC%9C%A0+%28%EC%98%81%EC%96%B4%EA%B3%B5%EB%B6%80%EB%A5%BC+%ED%95%B4%EC%95%BC+%ED%95%98%EB%8A%94+%EC%9D%B4%EC%9C%A0%29,19,15,0,3.0,,2023. 12. 16.,2,True,False,0,0,0,0,0,
,223293057462,%5B%EB%8B%A4%EC%9D%B4%EC%86%8C+%EB%B6%84%EA%B0%88%EC%9D%B4+%ED%9D%99%5D+%EB%B6%84%EA%B0%88%EC%9D%B4%EC%9A%A9%ED%86%A0+%EC%97%86%EC%9D%B4+%EC%83%81%ED%86%A0%2C+%ED%87%B4%EB%B9%84%EB%A1%9C+%EC%84%B1%EA%B3%B5%21+%EC%A7%91%EC%97%90%EC%84%9C+%EB%AC%BC%EA%B5%AC%EB%A9%8D+%EB%A7%8C%EB%93%A4%EA%B8%B0+%28%ED%99%94%EB%B6%84%EA%B9%94%EB%A7%9D+X%29,19,15,0,5.0,,2023. 12. 14.,2,True,False,0,0,0,0,0,
,223290511238,%5B%ED%99%8B%EC%B9%B4%EC%9D%B4%EB%8F%84+1%5D+%EC%B6%9C%EB%B0%9C%ED%95%98%EA%B8%B0+%EC%A0%84%EC%97%90+%ED%99%8B%EC%B9%B4%EC%9D%B4%EB%8F%84+%EC%A7%80%EC%97%AD+%EB%AC%B8%ED%99%94+%EC%97%AD%EC%82%AC+%EC%95%8C%EC%95%84%EB%B3%B4%EC%9E%90%21,8,7,0,9.0,,2023. 12. 12.,2,True,False,0,0,0,0,0,
,223287306752,%EB%A7%89%EA%B1%B8%EB%A6%AC+%EB%A7%8C%EB%93%A4%EA%B8%B0+%EC%B2%B4%ED%97%98+%ED%9B%84%EA%B8%B0+%7C+%EC%97%B4%ED%9D%98+%EC%88%99%EC%84%B1%ED%95%9C+%EB%92%A4+%EB%A8%B9%EC%9D%80+%EB%A7%9B%EC%9D%80%3F,19,15,0,12.0,,2023. 12. 9.,2,True,False,0,0,0,0,0,
,223287049797,%5B%EA%B0%95%EB%82%A8%EC%97%AD+%EC%82%AC%EC%A7%84%EA%B4%80%5D+%ED%8F%AC%ED%86%A0%EC%9C%84%ED%81%AC%EC%97%90%EC%84%9C+%EC%BB%AC%EB%9F%AC%EC%A6%9D%EB%AA%85%EC%82%AC%EC%A7%84+%ED%9B%84%EA%B8%B0+%7C+1%3A1+%EC%9D%BC%EB%8C%80%EC%9D%BC+%EB%A7%9E%EC%B6%A4+%EB%B3%B4%EC%A0%95,23,23,0,4.0,,2023. 12. 8.,2,True,False,0,0,0,0,0,
,223286191609,%5B%EC%95%95%EA%B5%AC%EC%A0%95+%EC%B9%BC%EB%A6%AC%ED%94%84%ED%95%98%EC%9A%B0%EC%8A%A4%5D+%EB%8D%B8%ED%83%80+%ED%95%AD%EA%B3%B5+%ED%81%AC%EB%A6%AC%EC%8A%A4%EB%A7%88%EC%8A%A4+%ED%8C%9D%EC%97%85+%ED%9B%84%EA%B8%B0%21,22,7,0,15.0,,2023. 12. 8.,2,True,False,0,0,0,0,0,
,223286189591,2023+%EB%9F%AC%EB%8B%9D+%EA%B8%B0%EB%A1%9D+131.6KM+%7C+%EC%9C%84%EB%A1%80%ED%9C%B4%EB%A8%BC%EB%A7%81+%EB%8B%AC%EB%A6%AC%EA%B8%B0,19,15,0,4.0,,2023. 12. 7.,2,True,False,0,0,0,0,0,
,223284685718,%5B2023+%EB%A7%88%EC%9D%B4+%EB%B8%94%EB%A1%9C%EA%B7%B8+%EB%A6%AC%ED%8F%AC%ED%8A%B8%5D+%EB%9D%BC%EC%9D%B4%ED%94%84+%ED%94%84%EB%A1%9C%ED%85%8D%ED%84%B0+%ED%96%84%EB%A8%B9%EB%8A%94+%EC%A0%A4%EB%A6%AC%EA%B3%B0%21,18,15,0,9.0,,2023. 12. 6.,2,True,False,0,0,0,0,0,
,223284048251,%5B%EC%9B%90%EC%A3%BC+%ED%96%89%EA%B5%AC%EB%8F%99+%EB%A7%9B%EC%A7%91%5D+%EB%8B%A4%ED%95%A8%EB%A9%B4%EC%98%A5%EC%97%90%EC%84%9C+%EA%B0%88%EB%B9%84%ED%83%95%2C+%EC%86%8C%EA%B3%A0%EA%B8%B0%EC%88%98%EC%9C%A1%2C+%EC%88%9C%EB%91%90%EB%B6%80%EC%B0%8C%EA%B0%9C+%EB%83%A0,6,7,0,14.0,,2023. 12. 6.,2,True,False,0,0,0,0,0,
,223283829077,%5B%ED%9A%A1%EC%84%B1+%EC%9B%B0%EB%A6%AC%ED%9E%90%EB%A6%AC%ED%8C%8C%ED%81%AC+%EC%8A%A4%ED%82%A4%EC%9E%A5%5D+%EC%9D%B8%EC%83%9D+%EC%B2%AB+%EC%A4%91%EA%B8%89+%EC%8A%AC%EB%A1%9C%ED%94%84+%ED%9B%84%EA%B8%B0%21+%EB%A6%AC%ED%94%84%ED%8A%B8%EA%B6%8C+%EC%9E%A5%EB%B9%84%EB%A0%8C%ED%83%88+%EA%B0%9C%EC%9E%A5+%EC%98%A4%ED%94%88%ED%95%A0%EC%9D%B8+%EA%B0%80%EA%B2%A9,22,7,0,12.0,,2023. 12. 5.,2,True,False,0,0,0,0,0,
,223283441347,%5B%EC%84%B1%EC%88%98%EB%8F%99+%EC%98%AC%EC%9D%8C%5D+%EC%83%81%EB%82%A8%EC%9E%90+%EB%B8%8C%EB%9D%BC%EB%8D%94%EC%8A%A4+%ED%8C%9D%EC%97%85+%ED%9B%84%EA%B8%B0,6,7,0,12.0,,2023. 12. 5.,2,True,False,0,0,0,0,0,
,223282854642,%5B%EA%B0%84%EC%82%AC%EC%9D%B4+%EC%97%AC%ED%96%89%EC%A7%80%EC%9B%90%5D+%ED%95%9C%ED%81%90+%ED%95%9C%EC%8B%A0+%EC%A0%84%EC%B2%A0+%ED%83%80%EA%B3%A0+%EB%96%A0%EB%82%98%EB%8A%94+%EA%B3%A0%EB%B2%A0+%EA%B5%90%ED%86%A0+%EC%98%A4%EC%82%AC%EC%B9%B4+%ED%8C%B8%ED%88%AC%EC%96%B4+%EB%96%A0%EB%82%98%EC%9E%90%21,8,7,0,14.0,,2023. 12. 4.,2,True,False,0,0,0,0,0,
,223282015513,%EC%82%BC%EC%96%91%EB%9D%BC%EB%A9%B4+%EC%B4%88%EA%B3%A0%EC%95%95+%EC%84%B8%EC%B2%99%EA%B8%B0+%EC%86%94%EC%A7%81+%EB%A6%AC%EB%B7%B0,15,15,0,6.0,,2023. 12. 4.,2,True,False,0,0,0,0,0,
,223281290092,%5B%EA%B0%95%EB%82%A8%EC%97%AD+%ED%94%BC%EC%9E%90%EC%A7%91%5D+%EB%8F%84%EC%B9%98%ED%94%BC%EC%9E%90+%EA%B0%95%EB%82%A8+%EC%98%88%EC%95%BD+%EC%97%86%EC%9D%B4+%EB%83%A0%EB%83%A0,6,7,0,8.0,,2023. 12. 2.,2,True,False,0,0,0,0,0,
